PlayerId|Position|Player|Salary
611|G|Jabari Brown|NA
612|PF|Noah Vonleh|3123.64165885721
613|C|Willie Cauley-Stein|4811.76075103682
614|C|Karl-Anthony Towns|9900.6381541289
615|PF|Nemanja Bjelica|3164.79802198119
616|PF|Julius Randle|6772.39860590812
617|PG|D'Angelo Russell|6500.17334512574
618|PG|Marcelo Huertas|2794.71255898415
619|PF|Cameron Bairstow|NA
620|SF|TJ Warren|5417.88816990447
621|PG|Mustafa Shakur|NA
622|PF|James Michael McAdoo|2836.88490966594
623|SF|JaKarr Sampson|3043.75710041894
624|C|Jerome Jordan|NA
625|PG|Will Cherry|NA
626|C|Alex Kirk|NA
627|SG|Zoran Dragic|NA
628|PF|Jarnell Stokes|2842.47227744199
629|F|Adonis Thomas|NA
630|PF/C|Myles Turner|6559.71444326853
631|SG/SF|Justin Anderson|3389.55822975734
632|SG|Rashad Vaughn|3082.37430665203
633|PF|Kristaps Porzingis|8274.91824492984
634|PG|Jerian Grant|4088.21754950979
635|SG|Jonathon Simmons|3963.13862541082
636|SG|Devin Booker|6788.049036124
637|SG|Pat Connaughton|3093.886738865
638|PG|Cameron Payne|3348.07132054598
639|PF|Larry Nance Jr.|4700.33261083524
640|SF|Anthony Brown|3073.76255826093
641|C|Frank Kaminsky|4064.30046520817
642|PF|Bobby Portis|4384.19884764589
643|C|Melvin Ely|NA
644|PF|Shayne Whittington|NA
645|SG|Devyn Marble|NA
646|SF|Bruno Caboclo|2733.47413125448
647|C|Lucas Nogueira|3514.03567337349
648|SG|James Young|2682.81717108952
649|PG|Spencer Dinwiddie|5147.60492742308
650|SG|Rodney Hood|4953.56134548936
651|C|Clint Capela|6176.07598520927
652|SF|Jerami Grant|3419.28977795988
653|SG|Andre Dawkins|NA
654|PF|Mitch McGary|NA
655|PF|Furkan Aldemir|NA
656|SG|Elijah Millsap|NA
657|PG|Larry Drew|NA
658|SF|Shane Edwards|NA
659|PF|Grant Jerrett|NA
660|SG|Patrick Christopher|NA
661|C|Boban Marjanovic|3391.1622351408
662|SG|Sasha Vujacic|2720.72126101702
663|SG|Jordan McRae|3400.37461471203
664|C|Sasha Kaun|NA
665|SG|Aaron Harrison|2984.63054476306
666|SG|Henry Walker|NA
667|G|Bryce Cotton|NA
668|F|Jack Cooley|3075.78290565871
669|F|Jerrelle Benimon|NA
670|PF|Eric Moreland|3360.71278753343
671|G/SG|Sean Kilpatrick|4220.73697926464
672|PG|Terry Rozier|3432.63354000677
673|PG|Tyus Jones|3454.51627675407
674|PF/C|Cristiano Felicio|3093.41975548219
675|PF|Montrezl Harrell|3791.97516075892
676|SF/SG|Darrun Hilliard|3276.69626371935
677|PF|Justin Harper|3188.08595119044
678|PF|Willie Reed|3403.70581527166
679|PG|Raul Neto|2747.79904619228
680|PF|Trey Lyles|3583.9692426947
681|SF|Kelly Oubre|NA
682|G|David Stockton|NA
683|C|Walter Tavares|NA
684|C|Salah Mejri|3380.85192326355
685|PF|David Wear|NA
686|SG|Jerel McNeal|NA
687|C|Sim Bhullar|NA
688|SG|Glenn Robinson III|3480.91140164227
689|SG|Rodney McGruder|3446.14523021375
690|SG|Josh Richardson|5539.4341057546
691|SF|Brandon Ingram|4514.08998823759
692|PG|Isaiah Whitehead|3408.13284913172
693|SF|Rondae Hollis-Jefferson|5152.59113338145
694|SG|Caris LeVert|4533.80497834518
695|SG|JR Smith|3865.92159104141
696|PG|Kay Felder|3328.86582179575
697|C|Tibor Pleiss|NA
698|C|Jahlil Okafor|4427.34147118734
699|PG|TJ McConnell|NA
700|PF|Richaun Holmes|4693.9402118012
701|PF|Christian Wood|2858.75372732989
702|SF|Stanley Johnson|3326.68350082921
703|SF|Damien Inglis|NA
704|PG|Emmanuel Mudiay|4667.10326142297
705|C/PF|Nikola Jokic|8720.33811892145
